VMV_Code,National_Variable_Code,Variable_Common_Name,Variable_Common_Name_fr,variable_type,Variable_type_fr,measurement_unit,description,Description_fr,National_Method_Code,Method_Title,Method_Title_fr
106022,329,"DICHLOROBENZENE (1,2-DICHLOROBENZENE)","DICHLOROBENZNE (1,2-DICHLOROBENZNE)",HALOGENATED MONOAROMATIC,HALOGNS MONOAROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106023,145,BENZO(B)FLUORANTHENE,BENZO(B)FLUORANTHNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106024,147,BENZO(K)FLUORANTHENE,BENZO(K)FLUORANTHNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106025,137,BENZO( E)PYRENE,BENZO( E)PYRNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106026,204,BENZO(A)PYRENE,BENZO(A)PYRNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106027,141,PERYLENE,PRYLNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106028,140,"INDENO(1,2,3-C,D)PYRENE","INDNO(1,2,3-C,D)PYRNE",AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106029,212,"DIBENZ(A,H)ANTHRACENE","DIBENZ(A,H)ANTHRACNE",AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106030,132,"BENZO(G,H,I)PERYLENE","BENZO(G,H,I)PRYLNE",AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106031,2626,DIBENZOTHIOPHENE,DIBENZOTHIOPHNE,AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106032,2364,7-ISOPROPYL-1-METHYLPHENANTHRENE (RETENE),1-PHNANTHRNE DE MTHYL 7-ISOPROPYL (RTNE),AROMATIC,AROMATIQUES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106033,2862,PRODUCTION,PRODUCTION,DESCRIPTIVE,DESCRIPTIF,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,3307,"ANALYSIS FOR GLYPHOSATE IN WATER IS PERFORMED USING SAMPLE EVAPORATION, PRE-COLUMN DERIVATIZATION AND QUANTITATION USING HPLC WITH MS DETECTION.","LANALYSE DU GLYPHOSATE DANS L'EAU EST EFFECTUE PAR VAPORATION DE L'CHANTILLON, DRIVATISATION PR-COLONNE ET QUANTIFICATION PAR CHLP, PUIS DTECTION PAR SM."
106153,306,HEXACHLOROBUTADIENE,HEXACHLOROBUTADINE,HALOGENATED (SUBSTITUTED ALIPHATIC),HALOGNS (ALIPHATIQUES SUBSTITUS),NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106154,4044,B-HEXACHLOROCYCLOHEXANE (B-HCH),B-HEXACHLOROCYCLOHEXANE (B-HCH),INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106155,4045,PENTACHLOROANISOLE,PENTACHLOROANISOLE,HALOGENATED (SUBSTITUTED AROMATIC),HALOGNS (AROMATIQUES SUBSTITUS),NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106156,1047,OXYCHLORDANE,OXYCHLORDANE,PESTICIDES,PESTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106157,192,"O,P'-DDE (2,4'-DDE)","O,P'-DDE (2,4'-DDE)",PESTICIDES,PESTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106158,211,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDD (MITOTANE) (2,4'-DDD)",ORGANOCHLORINE,ORGANOCHLORS,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106159,2852,TRANS-NONACHLOR,TRANS-NONACHLOR,PESTICIDES,PESTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106160,4046,CIS-NONACHLOR,CIS-NONACHLOR,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,2863,"ANALYSIS OF OCS, PCBS, CBS AND PAHS IN 1 L WATER SAMPLES BY GC-ECD AND GC-MSD.","ANALYSE DES OC, DES BPC, DES CB ET DES HAP DANS DES CHANTILLONS DE 1 L D'EAU PAR GC-ECD ET GC-MSD."
106207,1022,DIBROM OR NALED,DIBROME OU NALED,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106208,172,PHORATE,PHORATE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106209,234,DIMETHOATE OR PHOSPHAMIDE,DIMTHOATE OU PHOSPHAMIDE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106210,1023,TERBUFOS,TERBUFOS,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106211,326,FONOFOS,FONOFOS,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106212,189,DIAZINON,DIAZINON,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106213,174,DISULFOTON,DISULFOTON,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106214,98,MALATHION,MALATHION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106215,1024,DURSBAN OR CHLOPYRIFOS,DURSBAN OU CHLOPYRIFOS,PESTICIDES,PESTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106216,218,PARATHION ETHYL OR PARATHION,THYLE PARATHION OU PARATHION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106217,221,ETHION,THION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106218,265,PHOSMET TOTAL,PHOSMET TOTAL,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106219,302,AZINPHOS-METHYL,AZINPHOS-MTHYL,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3357,ORGANOPHOSPHATE PESTICIDES ARE ANALYZED IN WATER WITH LIQUID-LIQUID EXTRACTION BY GAS CHROMATOGRAPHY COUPLED WITH MASS SPECTROMETER (GC-MS).,LES PESTICIDES ORGANOPHOSPHATS SONT ANALYSS DANS L'EAU AVEC UNE EXTRACTION LIQUIDE-LIQUIDE PAR CHROMATOGRAPHIE EN PHASE GAZEUSE COUPLE  UN SPECTROMTRE DE MASSE (CG-SM.
106250,2721,ETHALFLURALIN,THALFLURALINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3003,ANALYSIS OF NEUTRAL HERBICIDES IN WATER USING GC-MSD.,ANALYSE D'HERBICIDES NEUTRES DANS L'EAU PAR GC-MSD.
106786,10230,NALED,NALED,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106787,10228,QUINTOZENE,QUINTOZNE,FUNGICIDES,FONGICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106788,10225,METHOPRENE,MTHOPRNE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106789,1316,METHAMIDOPHOS,METHAMIDOPHOS,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106790,3,CYPERMETHRIN,CYPERMTHRINE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106791,4,PERMETHRIN,PERMTHRINE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106792,5,CHLOROTHALONIL,CHLOROTHALONIL,ORGANOCHLORINE,ORGANOCHLORS,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106793,60,HEPTACHLOR EPOXIDE,POXYDE D'HEPTACHLORE,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106794,84,ENDOSULFAN SULPHATE TOTAL,SULFATE D'ENDOSULFAN TOTAL,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106795,91,HEXACHLOROBENZENE,HEXACHLOROBENZNE,ORGANOCHLORINE,ORGANOCHLORS,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106796,98,MALATHION,MALATHION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106797,99,FENITROTHION,FNITROTHION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106798,100,SIMAZINE,SIMAZINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106799,112,CAPTAN,CAPTAN,FUNGICIDES,FONGICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106800,122,TRIFLURALIN,TRIFLURALINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106801,124,ALACHLOR,ALACHLORE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106802,130,DACTHAL,DACTHAL,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106803,133,ATRAZINE,ATRAZINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106804,150,METRIBUZIN,MTRIBUZINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106805,154,CYANAZINE,CYANAZINE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106806,162,TRIALLATE,TRIALLATE,HERBICIDES,HERBICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106807,165,MIREX,MIREX,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106808,169,OCTACHLOROSTYRENE,OCTACHLOROSTYRNE,PESTICIDES,PESTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106809,170,CHLORPYRIPHOS OR DURSBAN,CHLORPYRIPHOS OU DURSBAN,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
106810,171,PARATHION METHYL,MTHYLPARATHION,INSECTICIDES,INSECTICIDES,NG/L,NANOGRAM PER LITER,NANOGRAMME PAR LITRE,3405,MULTIRESIDUE PESTICIDES ARE ANALYZED BY HRGC/HRMS USING A 1 L WHOLE WATER SAMPLE.,ANALYSE DE PESTICIDES MULTI-RSIDUS DANS 1 L D'EAU NON TRAITE PAR HRGC/HRMS.
